Case_ID,Case Duration,Case Length,Variants,First Activity,Last Activity
316,1416172.0,7,1,a,h
317,1356578.0,7,1,a,h
318,1512218.0,7,4,a,h
319,1128791.0,7,4,a,h
320,1304421.0,7,1,a,h
321,807989.0,7,4,a,h
322,1105731.0,7,1,a,h
323,988550.0,7,1,a,h
324,763072.0,7,3,a,h
325,785769.0,7,4,a,h
326,1065142.0,7,1,a,h
327,1052506.0,7,4,a,h
328,1091157.0,7,3,a,h
329,185532.0,3,2,a,c
330,122558.0,3,2,a,c
331,1244381.0,7,4,a,h
332,1012405.0,7,4,a,h
333,810484.0,7,3,a,h
334,856860.0,7,3,a,h
335,1057063.0,7,1,a,h
336,1732509.0,7,1,a,h
337,1544303.0,7,3,a,h
338,164630.0,3,2,a,c
339,1177160.0,7,1,a,h
340,444954.0,3,2,a,c
341,456563.0,3,2,a,c
342,943051.0,7,3,a,h
343,418293.0,3,2,a,c
344,649084.0,3,2,a,c
345,1437474.0,7,1,a,h
346,1119522.0,7,1,a,h
347,1250602.0,7,1,a,h
348,1201124.0,7,1,a,h
349,1172035.0,7,3,a,h
350,1370145.0,7,1,a,h
351,1190546.0,7,3,a,h
352,301889.0,3,2,a,c
353,301611.0,3,2,a,c
354,458302.0,3,2,a,c
355,1117982.0,7,3,a,h
356,1094394.0,7,1,a,h
357,495333.0,3,2,a,c
358,1028759.0,7,1,a,h
359,202564.0,3,2,a,c
360,219820.0,3,2,a,c
361,284432.0,3,2,a,c
362,1076636.0,7,1,a,h
363,1081713.0,7,1,a,h
364,1627041.0,7,1,a,h
365,1084041.0,7,1,a,h
366,925987.0,7,3,a,h
367,919955.0,7,1,a,h
368,1105438.0,7,1,a,h
369,571943.0,3,2,a,c
370,1048667.0,7,3,a,h
371,1478160.0,7,1,a,h
372,988826.0,7,1,a,h
373,529594.0,7,1,a,h
374,323781.0,3,2,a,c
375,792946.0,7,1,a,h
376,822515.0,7,1,a,h
377,870527.0,7,4,a,h
378,1687289.0,7,1,a,h
379,1417099.0,7,1,a,h
380,1159939.0,7,4,a,h
381,298228.0,3,2,a,c
382,1221990.0,7,1,a,h
383,1818964.0,7,1,a,h
384,640981.0,7,1,a,h
385,1121819.0,7,1,a,h
386,1244294.0,7,1,a,h
387,838333.0,7,1,a,h
388,214176.0,3,2,a,c
389,881996.0,7,1,a,h
390,229125.0,3,2,a,c
391,1195177.0,7,3,a,h
392,1229188.0,7,4,a,h
393,1144771.0,7,3,a,h
394,319842.0,3,2,a,c
395,1449682.0,7,3,a,h
396,659645.0,7,3,a,h
397,1057657.0,7,1,a,h
398,1202703.0,7,1,a,h
399,641650.0,7,1,a,h
400,1062516.0,7,1,a,h
401,763148.0,7,3,a,h
402,1242252.0,7,4,a,h
403,272068.0,3,2,a,c
404,636834.0,7,3,a,h
405,1119420.0,7,1,a,h
406,304606.0,3,2,a,c
407,711758.0,7,3,a,h
408,1522256.0,7,4,a,h
409,1416574.0,7,1,a,h
410,803667.0,7,1,a,h
411,1153646.0,7,3,a,h
412,1544595.0,7,1,a,h
413,800180.0,7,3,a,h
414,1183961.0,7,1,a,h
415,1285105.0,7,1,a,h
416,818720.0,7,3,a,h
417,940561.0,7,1,a,h
418,1009835.0,7,3,a,h
419,1208847.0,7,3,a,h
420,1561808.0,7,4,a,h
421,995963.0,7,3,a,h
422,1351428.0,7,1,a,h
423,1446409.0,7,1,a,h
424,692866.0,7,3,a,h
425,823361.0,7,1,a,h
426,760458.0,7,3,a,h
427,354981.0,3,2,a,c
428,1390803.0,7,4,a,h
429,1476355.0,7,3,a,h
430,2281120.0,7,4,a,h
431,1175694.0,7,3,a,h
432,514094.0,3,2,a,c
433,1000329.0,7,1,a,h
434,925692.0,7,4,a,h
435,1164139.0,7,3,a,h
436,336807.0,3,2,a,c
437,1450752.0,7,1,a,h
438,950846.0,7,3,a,h
439,1387112.0,7,4,a,h
440,986131.0,7,3,a,h
441,2022281.0,7,3,a,h
442,761533.0,7,4,a,h
443,678385.0,7,3,a,h
444,1833429.0,7,1,a,h
445,1567489.0,7,1,a,h
446,1298333.0,7,1,a,h
447,131386.0,3,2,a,c
448,779833.0,7,3,a,h
449,1125608.0,7,1,a,h
450,1485460.0,7,1,a,h
451,362757.0,3,2,a,c
452,217244.0,3,2,a,c
453,1370413.0,7,1,a,h
454,926177.0,7,1,a,h
455,1133675.0,7,1,a,h
456,853354.0,7,3,a,h
457,1014290.0,7,3,a,h
458,1090315.0,7,4,a,h
459,1214298.0,7,4,a,h
460,145526.0,3,2,a,c
461,867311.0,7,4,a,h
462,1751168.0,7,3,a,h
463,1033468.0,7,3,a,h
464,1474581.0,7,1,a,h
465,437152.0,3,2,a,c
466,946011.0,7,3,a,h
467,481115.0,3,2,a,c
468,273601.0,3,2,a,c
469,843658.0,7,1,a,h
470,876433.0,7,3,a,h
471,205589.0,3,2,a,c
472,1143041.0,7,3,a,h
473,326461.0,3,2,a,c
474,1518031.0,7,3,a,h
475,822203.0,7,3,a,h
476,341027.0,3,2,a,c
477,1007097.0,7,4,a,h
478,976705.0,7,3,a,h
479,405948.0,3,2,a,c
480,335370.0,3,2,a,c
481,790662.0,7,1,a,h
482,156514.0,3,2,a,c
483,1619684.0,7,1,a,h
484,936889.0,7,1,a,h
485,867758.0,7,3,a,h
486,937881.0,7,1,a,h
487,495201.0,3,2,a,c
488,1752957.0,7,1,a,h
489,1572755.0,7,1,a,h
490,1092559.0,7,4,a,h
491,1335424.0,7,1,a,h
492,1232730.0,7,4,a,h
493,752111.0,7,4,a,h
494,1293825.0,7,1,a,h
495,1099061.0,7,3,a,h
496,1110557.0,7,4,a,h
497,388816.0,3,2,a,c
498,375272.0,3,2,a,c
499,266368.0,3,2,a,c
500,938826.0,7,4,a,h
501,1285670.0,7,4,a,h
502,1015258.0,7,1,a,h
503,812141.0,7,3,a,h
504,1015817.0,7,3,a,h
505,1111346.0,7,3,a,h
506,1389002.0,7,3,a,h
507,242296.0,3,2,a,c
508,888008.0,7,1,a,h
509,1179376.0,7,1,a,h
510,601997.0,7,3,a,h
511,1013176.0,7,3,a,h
512,829972.0,7,1,a,h
513,892150.0,7,1,a,h
514,679535.0,7,3,a,h
515,693799.0,7,1,a,h
516,400043.0,3,2,a,c
517,1207739.0,7,3,a,h
518,2204189.0,7,4,a,h
519,1862483.0,7,1,a,h
520,1486868.0,7,1,a,h
521,1082285.0,7,1,a,h
522,1541991.0,7,1,a,h
523,1307808.0,7,1,a,h
524,1646168.0,7,1,a,h
525,1844640.0,7,1,a,h
526,1302213.0,7,4,a,h
527,1317027.0,7,4,a,h
528,1360424.0,7,1,a,h
529,710557.0,7,4,a,h
530,984031.0,7,4,a,h
531,845388.0,7,1,a,h
532,1681109.0,7,1,a,h
533,1306740.0,7,1,a,h
534,1150177.0,7,1,a,h
535,760172.0,7,1,a,h
536,1472505.0,7,1,a,h
537,1264117.0,7,1,a,h
538,1040019.0,7,3,a,h
539,1097811.0,7,3,a,h
540,2408022.0,7,1,a,h
541,2081727.0,7,1,a,h
542,952101.0,7,4,a,h
543,1354344.0,7,4,a,h
544,716136.0,7,1,a,h
545,764484.0,7,1,a,h
546,573604.0,7,3,a,h
547,1021428.0,7,1,a,h
548,1237883.0,7,3,a,h
549,468750.0,3,2,a,c
550,769796.0,7,3,a,h
551,1537675.0,7,4,a,h
552,1612340.0,7,3,a,h
553,1760668.0,7,3,a,h
554,1580274.0,7,3,a,h
555,94303.0,3,2,a,c
556,950485.0,7,1,a,h
557,1132318.0,7,1,a,h
558,1099233.0,7,1,a,h
559,1474069.0,7,1,a,h
560,839993.0,7,3,a,h
561,336334.0,3,2,a,c
562,1255907.0,7,1,a,h
563,721566.0,7,3,a,h
564,730063.0,7,3,a,h
565,625637.0,7,1,a,h
566,727586.0,7,1,a,h
567,60098.0,3,2,a,c
568,230620.0,3,2,a,c
569,193884.0,3,2,a,c
570,822816.0,7,1,a,h
571,1000537.0,7,3,a,h
572,1425095.0,7,3,a,h
573,1389981.0,7,1,a,h
574,779386.0,7,4,a,h
575,925679.0,7,1,a,h
576,1340181.0,7,1,a,h
577,2132394.0,7,1,a,h
578,2139664.0,7,1,a,h
579,1988401.0,7,1,a,h
580,580766.0,3,2,a,c
581,1246455.0,7,1,a,h
582,1087770.0,7,1,a,h
583,1459680.0,7,1,a,h
584,1417931.0,7,3,a,h
585,1710670.0,7,3,a,h
586,1949818.0,7,1,a,h
587,1181237.0,7,1,a,h
588,1042967.0,7,1,a,h
589,819977.0,7,1,a,h
590,744601.0,7,3,a,h
591,836394.0,7,1,a,h
592,1668548.0,7,1,a,h
593,1658394.0,7,4,a,h
594,282372.0,3,2,a,c
595,1504207.0,7,1,a,h
596,1179433.0,7,1,a,h
597,822627.0,7,1,a,h
598,1022319.0,7,1,a,h
599,775222.0,7,4,a,h
600,1081980.0,7,4,a,h
601,885008.0,7,1,a,h
602,1367619.0,7,1,a,h
603,1143110.0,7,1,a,h
604,1361931.0,7,4,a,h
605,999246.0,7,3,a,h
606,881748.0,7,4,a,h
607,871479.0,7,1,a,h
608,395485.0,3,2,a,c
609,677788.0,7,4,a,h
610,1061529.0,7,1,a,h
611,1117618.0,7,1,a,h
612,269539.0,3,2,a,c
613,883383.0,7,3,a,h
614,447349.0,3,2,a,c
615,1098230.0,7,1,a,h
616,1875106.0,7,1,a,h
617,1354668.0,7,4,a,h
618,1076465.0,7,3,a,h
619,1172873.0,7,1,a,h
620,1075123.0,7,1,a,h
621,879102.0,7,4,a,h
622,325905.0,3,2,a,c
623,1392601.0,7,1,a,h
624,1300722.0,7,1,a,h
625,304007.0,3,2,a,c
626,754190.0,7,1,a,h
627,877208.0,7,3,a,h
628,1173266.0,7,1,a,h
629,1375415.0,7,1,a,h
630,819576.0,7,1,a,h
631,412599.0,3,2,a,c
632,1382432.0,7,1,a,h
633,1025729.0,7,3,a,h
634,512626.0,3,2,a,c
635,810846.0,7,4,a,h
636,1051618.0,7,4,a,h
637,893619.0,7,1,a,h
638,1077222.0,7,3,a,h
639,372678.0,3,2,a,c
640,295062.0,3,2,a,c
641,324098.0,3,2,a,c
642,1209021.0,7,1,a,h
643,848634.0,7,3,a,h
644,122187.0,3,2,a,c
645,987032.0,7,3,a,h
646,1172237.0,7,3,a,h
647,1354893.0,7,3,a,h
648,1580975.0,7,1,a,h
649,1778435.0,7,1,a,h
650,1288576.0,7,4,a,h
651,436389.0,3,2,a,c
652,1152125.0,7,3,a,h
653,281304.0,3,2,a,c
654,312752.0,3,2,a,c
655,942478.0,7,4,a,h
656,539803.0,3,2,a,c
657,273693.0,3,2,a,c
658,1157755.0,7,1,a,h
659,959756.0,7,4,a,h
660,287087.0,3,2,a,c
661,1011733.0,7,3,a,h
662,1453402.0,7,1,a,h
663,1564043.0,7,4,a,h
664,1012086.0,7,3,a,h
665,1600479.0,7,3,a,h
666,1105913.0,7,3,a,h
667,933113.0,7,3,a,h
668,1177851.0,7,4,a,h
669,974824.0,7,3,a,h
670,975458.0,7,1,a,h
671,834824.0,7,1,a,h
672,1020239.0,7,3,a,h
673,1205923.0,7,1,a,h
674,153030.0,3,2,a,c
675,917996.0,7,3,a,h
676,645840.0,7,4,a,h
677,574812.0,7,4,a,h
678,643104.0,7,3,a,h
679,1146888.0,7,3,a,h
680,244834.0,3,2,a,c
681,274997.0,3,2,a,c
682,860522.0,7,3,a,h
683,816270.0,7,3,a,h
684,1013231.0,7,3,a,h
685,1175339.0,7,3,a,h
686,1410945.0,7,1,a,h
687,1398789.0,7,1,a,h
688,1511110.0,7,1,a,h
689,1456421.0,7,1,a,h
690,340372.0,3,2,a,c
691,928217.0,7,1,a,h
692,194383.0,3,2,a,c
693,157381.0,3,2,a,c
694,668128.0,7,1,a,h
695,1040009.0,7,3,a,h
696,805302.0,7,3,a,h
697,1204226.0,7,3,a,h
698,2288180.0,7,1,a,h
699,1614448.0,7,1,a,h
700,2048832.0,7,1,a,h
701,1749484.0,7,3,a,h
702,1982998.0,7,1,a,h
703,2404911.0,7,1,a,h
704,2342056.0,7,1,a,h
705,1704869.0,7,1,a,h
706,1544343.0,7,1,a,h
707,404087.0,3,2,a,c
708,283315.0,3,2,a,c
709,454857.0,3,2,a,c
710,359384.0,3,2,a,c
711,217429.0,3,2,a,c
712,914778.0,7,3,a,h
713,271341.0,3,2,a,c
714,227907.0,3,2,a,c
715,1183175.0,7,3,a,h
716,222254.0,3,2,a,c
717,1364263.0,7,1,a,h
718,1317763.0,7,4,a,h
719,217681.0,3,2,a,c
720,751335.0,7,1,a,h
721,731543.0,7,4,a,h
722,1050170.0,7,3,a,h
723,192414.0,3,2,a,c
724,1389713.0,7,3,a,h
725,2041191.0,7,1,a,h
726,878757.0,7,3,a,h
727,1132679.0,7,1,a,h
728,1003269.0,7,3,a,h
729,167123.0,3,2,a,c
730,882888.0,7,4,a,h
731,744395.0,7,1,a,h
732,940333.0,7,3,a,h
733,1583475.0,7,1,a,h
734,1780157.0,7,1,a,h
735,1539542.0,7,3,a,h
736,137780.0,3,2,a,c
737,1319040.0,7,3,a,h
738,1087825.0,7,1,a,h
739,1034230.0,7,3,a,h
740,1296868.0,7,4,a,h
741,944848.0,7,3,a,h
742,1613773.0,7,4,a,h
743,1177306.0,7,3,a,h
744,1634087.0,7,3,a,h
745,878115.0,7,4,a,h
746,1113541.0,7,4,a,h
747,765574.0,3,2,a,c
748,1199486.0,7,1,a,h
749,1166149.0,7,4,a,h
750,833535.0,7,1,a,h
751,1071394.0,7,3,a,h
752,648967.0,7,4,a,h
753,1230708.0,7,1,a,h
754,190713.0,3,2,a,c
755,813990.0,7,1,a,h
756,1127176.0,7,1,a,h
757,995110.0,7,3,a,h
758,767742.0,7,4,a,h
759,1105307.0,7,1,a,h
760,776462.0,7,1,a,h
761,872816.0,7,1,a,h
762,383007.0,3,2,a,c
763,1353662.0,7,4,a,h
764,721943.0,7,1,a,h
765,974586.0,7,3,a,h
766,392299.0,3,2,a,c
767,1188722.0,7,1,a,h
768,1280091.0,7,1,a,h
769,335844.0,3,2,a,c
770,1377165.0,7,1,a,h
771,442888.0,3,2,a,c
772,1018291.0,7,3,a,h
773,999352.0,7,4,a,h
774,242294.0,3,2,a,c
775,944629.0,7,4,a,h
776,997723.0,7,3,a,h
777,1073374.0,7,1,a,h
778,1069033.0,7,1,a,h
779,1055344.0,7,1,a,h
780,260639.0,3,2,a,c
781,1047117.0,7,1,a,h
782,230020.0,3,2,a,c
783,109597.0,3,2,a,c
784,693620.0,7,3,a,h
785,1389103.0,7,4,a,h
786,981276.0,7,4,a,h
787,1108352.0,7,1,a,h
788,1282169.0,7,3,a,h
789,419828.0,3,2,a,c
790,1152700.0,7,1,a,h
791,1117836.0,7,1,a,h
792,1211802.0,7,3,a,h
793,388972.0,3,2,a,c
794,214109.0,3,2,a,c
795,1386949.0,7,1,a,h
796,118290.0,3,2,a,c
797,771963.0,7,3,a,h
798,170891.0,3,2,a,c
799,208209.0,3,2,a,c
800,995390.0,7,3,a,h
801,949221.0,7,1,a,h
802,241193.0,3,2,a,c
803,659614.0,7,4,a,h
804,741902.0,7,1,a,h
805,1001882.0,7,3,a,h
806,1881534.0,7,4,a,h
807,929340.0,7,3,a,h
808,1518923.0,7,1,a,h
809,1758879.0,7,1,a,h
810,1725811.0,7,1,a,h
811,1393037.0,7,1,a,h
812,284484.0,3,2,a,c
813,887194.0,7,1,a,h
814,893465.0,7,3,a,h
815,1090455.0,7,1,a,h
816,972409.0,7,4,a,h
817,829260.0,7,1,a,h
818,1105685.0,7,3,a,h
819,1514552.0,7,4,a,h
820,936531.0,7,3,a,h
821,1198627.0,7,1,a,h
822,950788.0,7,3,a,h
823,512827.0,3,2,a,c
824,779584.0,7,3,a,h
825,350153.0,3,2,a,c
826,1206007.0,7,3,a,h
827,237701.0,3,2,a,c
828,1005525.0,7,1,a,h
829,1223317.0,7,1,a,h
830,275881.0,3,2,a,c
831,1476186.0,7,3,a,h
832,688926.0,7,4,a,h
833,602229.0,3,2,a,c
834,755184.0,7,3,a,h
835,1528554.0,7,1,a,h
836,1041521.0,7,4,a,h
837,824636.0,7,4,a,h
838,1125331.0,7,1,a,h
839,1005765.0,7,3,a,h
840,850877.0,7,1,a,h
841,530017.0,7,3,a,h
842,147595.0,3,2,a,c
843,947462.0,7,4,a,h
844,1394487.0,7,4,a,h
845,1132258.0,7,3,a,h
846,1147291.0,7,1,a,h
847,832123.0,7,1,a,h
848,1211619.0,7,3,a,h
849,1225093.0,7,4,a,h
850,1669996.0,7,1,a,h
851,181004.0,3,2,a,c
852,312989.0,3,2,a,c
853,565509.0,7,3,a,h
854,682705.0,7,1,a,h
855,1171721.0,7,1,a,h
856,951549.0,7,1,a,h
857,120609.0,3,2,a,c
858,1007014.0,7,1,a,h
859,853910.0,7,4,a,h
860,1325037.0,7,1,a,h
861,1361132.0,7,3,a,h
862,1422344.0,7,3,a,h
863,1234018.0,7,3,a,h
864,150488.0,3,2,a,c
865,95283.0,3,2,a,c
866,258375.0,3,2,a,c
867,232823.0,3,2,a,c
868,607347.0,7,4,a,h
869,718921.0,7,1,a,h
870,313269.0,3,2,a,c
871,1117137.0,7,1,a,h
872,251368.0,3,2,a,c
873,783502.0,7,4,a,h
874,779309.0,7,3,a,h
875,29414.0,3,2,a,c
876,876361.0,7,1,a,h
877,1147389.0,7,1,a,h
878,868002.0,7,4,a,h
879,221189.0,3,2,a,c
880,1046196.0,7,1,a,h
881,879287.0,7,4,a,h
882,213425.0,3,2,a,c
883,1193272.0,7,1,a,h
884,1113241.0,7,1,a,h
885,1086844.0,7,1,a,h
886,891810.0,7,1,a,h
887,1804629.0,7,1,a,h
888,1298346.0,7,1,a,h
889,822765.0,7,3,a,h
890,1091921.0,7,3,a,h
891,770923.0,7,4,a,h
892,1481820.0,7,4,a,h
893,372439.0,3,2,a,c
894,1106715.0,7,1,a,h
895,1156909.0,7,1,a,h
896,1005963.0,7,1,a,h
897,1223855.0,7,1,a,h
898,1667057.0,7,1,a,h
899,1129777.0,7,4,a,h
900,934198.0,7,3,a,h
