Case_ID,Source,Timestamp1,User1,Case_ID2,Target,Timestamp2,User2,Comparison,Count,Count_Reverse,Start_Connect,End_Connect,Duration
6,g,2016-05-15 21:34:32,u6,6,e,2016-05-18 03:47:00,u7,True,4,3,,,-195148.0
6,d,2016-05-14 06:07:39,u5,6,g,2016-05-15 21:34:32,u6,True,3,4,,,-142013.0
6,b,2016-05-12 10:39:53,u4,6,d,2016-05-14 06:07:39,u5,True,2,5,,,-156466.0
6,a,2016-05-08 07:01:29,u2,6,b,2016-05-12 10:39:53,u4,True,1,6,Start,,-358704.0
7,b,2016-05-21 10:50:07,u3,7,c,2016-05-22 09:40:30,u1,True,2,1,,End,-82223.0
7,a,2016-05-18 21:19:05,u1,7,b,2016-05-21 10:50:07,u3,True,1,2,Start,,-221462.0
8,f,2016-05-29 20:11:19,u7,8,h,2016-06-01 08:27:22,u1,True,6,1,,End,-216963.0
8,e,2016-05-28 08:43:24,u7,8,f,2016-05-29 20:11:19,u7,True,5,2,,,-127675.0
8,g,2016-05-25 08:31:48,u5,8,e,2016-05-28 08:43:24,u7,True,4,3,,,-259896.0
8,d,2016-05-23 23:04:51,u6,8,g,2016-05-25 08:31:48,u5,True,3,4,,,-120417.0
8,b,2016-05-22 08:57:32,u4,8,d,2016-05-23 23:04:51,u6,True,2,5,,,-137239.0
8,a,2016-05-21 18:49:58,u2,8,b,2016-05-22 08:57:32,u4,True,1,6,Start,,-50854.0
9,f,2016-06-04 22:05:31,u8,9,h,2016-06-08 23:33:40,u1,True,6,1,,End,-350889.0
9,e,2016-06-04 02:42:51,u7,9,f,2016-06-04 22:05:31,u8,True,5,2,,,-69760.0
9,g,2016-06-03 06:04:30,u5,9,e,2016-06-04 02:42:51,u7,True,4,3,,,-74301.0
9,d,2016-05-31 02:34:15,u5,9,g,2016-06-03 06:04:30,u5,True,3,4,,,-271815.0
9,b,2016-05-30 02:05:00,u3,9,d,2016-05-31 02:34:15,u5,True,2,5,,,-88155.0
9,a,2016-05-29 16:46:13,u1,9,b,2016-05-30 02:05:00,u3,True,1,6,Start,,-33527.0
10,b,2016-06-04 06:19:48,u4,10,c,2016-06-05 00:42:28,u1,True,2,1,,End,-66160.0
10,a,2016-05-31 19:59:50,u2,10,b,2016-06-04 06:19:48,u4,True,1,2,Start,,-296398.0
11,g,2016-06-12 03:35:31,u5,11,h,2016-06-14 12:45:25,u1,True,6,1,,End,-205794.0
11,f,2016-06-11 06:01:56,u7,11,g,2016-06-12 03:35:31,u5,True,5,2,,,-77615.0
11,e,2016-06-10 05:19:28,u8,11,f,2016-06-11 06:01:56,u7,True,4,3,,,-88948.0
11,d,2016-06-08 14:28:05,u6,11,e,2016-06-10 05:19:28,u8,True,3,4,,,-139883.0
11,b,2016-06-07 14:58:13,u3,11,d,2016-06-08 14:28:05,u6,True,2,5,,,-84592.0
11,a,2016-06-06 05:43:44,u1,11,b,2016-06-07 14:58:13,u3,True,1,6,Start,,-119669.0
12,f,2016-06-18 16:15:56,u7,12,h,2016-06-21 13:57:48,u2,True,6,1,,End,-250912.0
12,g,2016-06-18 12:59:16,u5,12,f,2016-06-18 16:15:56,u7,True,5,2,,,-11800.0
12,e,2016-06-18 00:09:40,u8,12,g,2016-06-18 12:59:16,u5,True,4,3,,,-46176.0
12,d,2016-06-13 08:05:54,u5,12,e,2016-06-18 00:09:40,u8,True,3,4,,,-403426.0
12,b,2016-06-08 20:45:46,u3,12,d,2016-06-13 08:05:54,u5,True,2,5,,,-386408.0
12,a,2016-06-06 19:37:08,u2,12,b,2016-06-08 20:45:46,u3,True,1,6,Start,,-176918.0
13,g,2016-06-22 09:13:01,u6,13,h,2016-06-25 11:56:40,u2,True,6,1,,End,-269019.0
13,f,2016-06-21 21:48:11,u7,13,g,2016-06-22 09:13:01,u6,True,5,2,,,-41090.0
13,e,2016-06-21 15:35:30,u8,13,f,2016-06-21 21:48:11,u7,True,4,3,,,-22361.0
13,d,2016-06-14 03:25:14,u5,13,e,2016-06-21 15:35:30,u8,True,3,4,,,-648616.0
13,b,2016-06-10 20:19:58,u3,13,d,2016-06-14 03:25:14,u5,True,2,5,,,-284716.0
13,a,2016-06-10 18:22:15,u1,13,b,2016-06-10 20:19:58,u3,True,1,6,Start,,-7063.0
14,f,2016-06-28 10:30:35,u8,14,h,2016-06-30 16:52:31,u1,True,6,1,,End,-195716.0
14,e,2016-06-27 02:49:17,u7,14,f,2016-06-28 10:30:35,u8,True,5,2,,,-114078.0
14,g,2016-06-25 22:18:04,u6,14,e,2016-06-27 02:49:17,u7,True,4,3,,,-102673.0
14,d,2016-06-23 01:11:03,u5,14,g,2016-06-25 22:18:04,u6,True,3,4,,,-248821.0
14,b,2016-06-22 07:37:59,u3,14,d,2016-06-23 01:11:03,u5,True,2,5,,,-63184.0
14,a,2016-06-19 04:21:11,u2,14,b,2016-06-22 07:37:59,u3,True,1,6,Start,,-271008.0
15,f,2016-07-06 02:39:30,u7,15,h,2016-07-08 06:11:05,u1,True,6,1,,End,-185495.0
15,e,2016-07-04 19:48:17,u8,15,f,2016-07-06 02:39:30,u7,True,5,2,,,-111073.0
15,g,2016-07-02 03:09:09,u6,15,e,2016-07-04 19:48:17,u8,True,4,3,,,-232748.0
15,d,2016-06-29 09:28:04,u5,15,g,2016-07-02 03:09:09,u6,True,3,4,,,-236465.0
15,b,2016-06-28 02:24:40,u3,15,d,2016-06-29 09:28:04,u5,True,2,5,,,-111804.0
15,a,2016-06-26 22:18:28,u1,15,b,2016-06-28 02:24:40,u3,True,1,6,Start,,-101172.0
16,g,2016-07-09 00:44:49,u5,16,h,2016-07-13 06:41:30,u1,True,6,1,,End,-367001.0
16,f,2016-07-08 13:30:44,u8,16,g,2016-07-09 00:44:49,u5,True,5,2,,,-40445.0
16,e,2016-07-07 17:20:55,u7,16,f,2016-07-08 13:30:44,u8,True,4,3,,,-72589.0
16,d,2016-07-06 07:25:28,u5,16,e,2016-07-07 17:20:55,u7,True,3,4,,,-122127.0
16,b,2016-07-05 04:36:53,u3,16,d,2016-07-06 07:25:28,u5,True,2,5,,,-96515.0
16,a,2016-07-03 15:25:12,u1,16,b,2016-07-05 04:36:53,u3,True,1,6,Start,,-133901.0
17,f,2016-07-14 13:54:31,u7,17,h,2016-07-15 17:42:42,u2,True,6,1,,End,-100091.0
17,g,2016-07-13 20:36:13,u6,17,f,2016-07-14 13:54:31,u7,True,5,2,,,-62298.0
17,e,2016-07-13 08:56:33,u8,17,g,2016-07-13 20:36:13,u6,True,4,3,,,-41980.0
17,d,2016-07-12 12:06:10,u5,17,e,2016-07-13 08:56:33,u8,True,3,4,,,-75023.0
17,b,2016-07-12 02:31:37,u3,17,d,2016-07-12 12:06:10,u5,True,2,5,,,-34473.0
17,a,2016-07-09 22:55:51,u1,17,b,2016-07-12 02:31:37,u3,True,1,6,Start,,-185746.0
18,b,2016-07-11 01:12:55,u3,18,c,2016-07-14 18:46:18,u1,True,2,1,,End,-322403.0
18,a,2016-07-09 02:31:42,u2,18,b,2016-07-11 01:12:55,u3,True,1,2,Start,,-168073.0
19,f,2016-07-25 23:14:20,u8,19,h,2016-07-27 18:08:34,u2,True,6,1,,End,-154454.0
19,e,2016-07-24 08:56:13,u7,19,f,2016-07-25 23:14:20,u8,True,5,2,,,-137887.0
19,g,2016-07-18 07:03:18,u5,19,e,2016-07-24 08:56:13,u7,True,4,3,,,-525175.0
19,d,2016-07-18 07:03:18,u5,19,g,2016-07-18 07:03:18,u5,True,3,4,,,0.0
19,b,2016-07-16 11:20:03,u3,19,d,2016-07-18 07:03:18,u5,True,2,5,,,-157395.0
19,a,2016-07-14 18:46:18,u1,19,b,2016-07-16 11:20:03,u3,True,1,6,Start,,-146025.0
20,b,2016-07-23 04:40:45,u3,20,c,2016-07-23 11:48:45,u2,True,2,1,,End,-25680.0
20,a,2016-07-21 04:22:41,u2,20,b,2016-07-23 04:40:45,u3,True,1,2,Start,,-173884.0
21,f,2016-08-07 22:03:51,u7,21,h,2016-08-10 00:15:14,u2,True,6,1,,End,-180683.0
21,g,2016-08-06 09:27:43,u6,21,f,2016-08-07 22:03:51,u7,True,5,2,,,-131768.0
21,e,2016-08-05 22:56:29,u7,21,g,2016-08-06 09:27:43,u6,True,4,3,,,-37874.0
21,d,2016-08-01 23:57:40,u5,21,e,2016-08-05 22:56:29,u7,True,3,4,,,-341929.0
21,b,2016-08-01 01:40:23,u3,21,d,2016-08-01 23:57:40,u5,True,2,5,,,-80237.0
21,a,2016-07-28 22:56:42,u2,21,b,2016-08-01 01:40:23,u3,True,1,6,Start,,-269021.0
22,g,2016-08-09 20:22:42,u6,22,h,2016-08-12 12:16:32,u2,True,6,1,,End,-230030.0
22,f,2016-08-08 17:07:18,u8,22,g,2016-08-09 20:22:42,u6,True,5,2,,,-98124.0
22,e,2016-08-06 19:12:44,u8,22,f,2016-08-08 17:07:18,u8,True,4,3,,,-165274.0
22,d,2016-08-03 09:13:15,u5,22,e,2016-08-06 19:12:44,u8,True,3,4,,,-295169.0
22,b,2016-08-03 00:06:08,u3,22,d,2016-08-03 09:13:15,u5,True,2,5,,,-32827.0
22,a,2016-08-02 09:26:41,u1,22,b,2016-08-03 00:06:08,u3,True,1,6,Start,,-52767.0
23,g,2016-08-11 02:52:22,u6,23,h,2016-08-11 10:58:04,u1,True,6,1,,End,-29142.0
23,f,2016-08-07 20:13:29,u8,23,g,2016-08-11 02:52:22,u6,True,5,2,,,-283133.0
23,e,2016-08-06 14:13:04,u7,23,f,2016-08-07 20:13:29,u8,True,4,3,,,-108025.0
23,d,2016-08-05 11:21:15,u5,23,e,2016-08-06 14:13:04,u7,True,3,4,,,-96709.0
23,b,2016-08-05 00:54:25,u3,23,d,2016-08-05 11:21:15,u5,True,2,5,,,-37610.0
23,a,2016-08-03 10:41:46,u2,23,b,2016-08-05 00:54:25,u3,True,1,6,Start,,-137559.0
24,f,2016-08-28 00:22:49,u8,24,h,2016-08-28 19:48:08,u2,True,6,1,,End,-69919.0
24,e,2016-08-22 01:22:21,u7,24,f,2016-08-28 00:22:49,u8,True,5,2,,,-514828.0
24,g,2016-08-20 09:06:12,u5,24,e,2016-08-22 01:22:21,u7,True,4,3,,,-144969.0
24,d,2016-08-16 19:33:45,u5,24,g,2016-08-20 09:06:12,u5,True,3,4,,,-307947.0
24,b,2016-08-16 08:01:47,u3,24,d,2016-08-16 19:33:45,u5,True,2,5,,,-41518.0
24,a,2016-08-13 18:33:56,u2,24,b,2016-08-16 08:01:47,u3,True,1,6,Start,,-221271.0
25,f,2016-08-30 06:23:32,u8,25,h,2016-09-02 05:36:32,u1,True,6,1,,End,-256380.0
25,e,2016-08-26 18:33:09,u8,25,f,2016-08-30 06:23:32,u8,True,5,2,,,-301823.0
25,g,2016-08-26 14:09:44,u6,25,e,2016-08-26 18:33:09,u8,True,4,3,,,-15805.0
25,d,2016-08-22 00:34:08,u5,25,g,2016-08-26 14:09:44,u6,True,3,4,,,-394536.0
25,b,2016-08-21 06:12:25,u3,25,d,2016-08-22 00:34:08,u5,True,2,5,,,-66103.0
25,a,2016-08-20 06:08:44,u2,25,b,2016-08-21 06:12:25,u3,True,1,6,Start,,-86621.0
26,f,2016-08-28 22:19:19,u8,26,h,2016-08-31 01:12:09,u2,True,6,1,,End,-183170.0
26,e,2016-08-25 02:11:15,u7,26,f,2016-08-28 22:19:19,u8,True,5,2,,,-331684.0
26,g,2016-08-23 15:50:49,u5,26,e,2016-08-25 02:11:15,u7,True,4,3,,,-123626.0
26,d,2016-08-22 19:47:41,u6,26,g,2016-08-23 15:50:49,u5,True,3,4,,,-72188.0
26,b,2016-08-21 15:03:09,u3,26,d,2016-08-22 19:47:41,u6,True,2,5,,,-103472.0
26,a,2016-08-21 02:27:04,u2,26,b,2016-08-21 15:03:09,u3,True,1,6,Start,,-45365.0
27,f,2016-09-07 06:45:54,u8,27,h,2016-09-08 09:11:55,u1,True,6,1,,End,-95161.0
27,e,2016-09-06 09:02:14,u8,27,f,2016-09-07 06:45:54,u8,True,5,2,,,-78220.0
27,g,2016-09-03 09:49:28,u5,27,e,2016-09-06 09:02:14,u8,True,4,3,,,-256366.0
27,d,2016-08-30 02:09:02,u5,27,g,2016-09-03 09:49:28,u5,True,3,4,,,-373226.0
27,b,2016-08-29 17:42:52,u3,27,d,2016-08-30 02:09:02,u5,True,2,5,,,-30370.0
27,a,2016-08-28 03:57:02,u2,27,b,2016-08-29 17:42:52,u3,True,1,6,Start,,-135950.0
28,g,2016-09-09 23:21:27,u6,28,h,2016-09-13 12:48:54,u2,True,6,1,,End,-307647.0
28,f,2016-09-06 14:46:45,u7,28,g,2016-09-09 23:21:27,u6,True,5,2,,,-290082.0
28,e,2016-09-06 09:38:48,u7,28,f,2016-09-06 14:46:45,u7,True,4,3,,,-18477.0
28,d,2016-09-05 02:19:33,u5,28,e,2016-09-06 09:38:48,u7,True,3,4,,,-112755.0
28,b,2016-09-04 09:24:26,u3,28,d,2016-09-05 02:19:33,u5,True,2,5,,,-60907.0
28,a,2016-09-04 09:24:26,u2,28,b,2016-09-04 09:24:26,u3,True,1,6,Start,,0.0
29,b,2016-09-11 21:07:41,u3,29,c,2016-09-15 20:19:51,u2,True,2,1,,End,-342730.0
29,a,2016-09-09 14:43:50,u2,29,b,2016-09-11 21:07:41,u3,True,1,2,Start,,-195831.0
30,g,2016-09-20 06:26:42,u6,30,h,2016-09-21 09:16:54,u1,True,6,1,,End,-96612.0
30,f,2016-09-19 21:00:42,u7,30,g,2016-09-20 06:26:42,u6,True,5,2,,,-33960.0
30,e,2016-09-19 10:17:59,u8,30,f,2016-09-19 21:00:42,u7,True,4,3,,,-38563.0
30,d,2016-09-19 10:17:59,u5,30,e,2016-09-19 10:17:59,u8,True,3,4,,,0.0
30,b,2016-09-18 04:05:15,u3,30,d,2016-09-19 10:17:59,u5,True,2,5,,,-108764.0
30,a,2016-09-15 09:00:23,u2,30,b,2016-09-18 04:05:15,u3,True,1,6,Start,,-241492.0
31,g,2016-09-26 12:53:05,u6,31,h,2016-09-27 20:59:31,u1,True,6,1,,End,-115586.0
31,f,2016-09-22 07:57:12,u8,31,g,2016-09-26 12:53:05,u6,True,5,2,,,-363353.0
31,e,2016-09-21 11:36:06,u7,31,f,2016-09-22 07:57:12,u8,True,4,3,,,-73266.0
31,d,2016-09-20 00:17:15,u5,31,e,2016-09-21 11:36:06,u7,True,3,4,,,-127131.0
31,b,2016-09-18 23:06:21,u4,31,d,2016-09-20 00:17:15,u5,True,2,5,,,-90654.0
31,a,2016-09-16 21:34:54,u1,31,b,2016-09-18 23:06:21,u4,True,1,6,Start,,-178287.0
32,b,2016-09-24 01:36:27,u4,32,c,2016-09-24 08:43:24,u1,True,2,1,,End,-25617.0
32,a,2016-09-23 05:05:14,u1,32,b,2016-09-24 01:36:27,u4,True,1,2,Start,,-73873.0
33,g,2016-10-11 11:59:00,u6,33,h,2016-10-14 15:56:55,u1,True,6,1,,End,-273475.0
33,f,2016-10-10 07:31:52,u7,33,g,2016-10-11 11:59:00,u6,True,5,2,,,-102428.0
33,e,2016-10-08 23:52:01,u8,33,f,2016-10-10 07:31:52,u7,True,4,3,,,-113991.0
33,d,2016-10-06 13:32:52,u5,33,e,2016-10-08 23:52:01,u8,True,3,4,,,-209949.0
33,b,2016-10-04 05:22:20,u3,33,d,2016-10-06 13:32:52,u5,True,2,5,,,-202232.0
33,a,2016-10-02 16:28:39,u1,33,b,2016-10-04 05:22:20,u3,True,1,6,Start,,-132821.0
34,f,2016-10-18 01:09:20,u8,34,h,2016-10-18 16:40:19,u2,True,6,1,,End,-55859.0
34,e,2016-10-17 15:31:46,u7,34,f,2016-10-18 01:09:20,u8,True,5,2,,,-34654.0
34,g,2016-10-16 10:41:30,u6,34,e,2016-10-17 15:31:46,u7,True,4,3,,,-103816.0
34,d,2016-10-12 07:36:45,u5,34,g,2016-10-16 10:41:30,u6,True,3,4,,,-356685.0
34,b,2016-10-11 03:23:35,u3,34,d,2016-10-12 07:36:45,u5,True,2,5,,,-101590.0
34,a,2016-10-09 02:44:23,u2,34,b,2016-10-11 03:23:35,u3,True,1,6,Start,,-175152.0
35,b,2016-10-19 00:25:26,u3,35,c,2016-10-19 05:37:00,u2,True,2,1,,End,-18694.0
35,a,2016-10-17 00:33:46,u2,35,b,2016-10-19 00:25:26,u3,True,1,2,Start,,-172300.0
36,g,2016-10-29 00:45:13,u6,36,h,2016-10-31 08:21:21,u2,True,6,1,,End,-200168.0
36,f,2016-10-26 20:18:43,u7,36,g,2016-10-29 00:45:13,u6,True,5,2,,,-188790.0
36,e,2016-10-25 23:57:47,u7,36,f,2016-10-26 20:18:43,u7,True,4,3,,,-73256.0
36,d,2016-10-24 20:47:31,u5,36,e,2016-10-25 23:57:47,u7,True,3,4,,,-97816.0
36,b,2016-10-23 20:33:44,u3,36,d,2016-10-24 20:47:31,u5,True,2,5,,,-87227.0
36,a,2016-10-21 10:17:11,u1,36,b,2016-10-23 20:33:44,u3,True,1,6,Start,,-209793.0
37,f,2016-11-07 20:35:55,u8,37,h,2016-11-10 23:29:12,u2,True,6,1,,End,-269597.0
37,g,2016-11-06 01:12:08,u6,37,f,2016-11-07 20:35:55,u8,True,5,2,,,-156227.0
37,e,2016-11-05 18:34:14,u7,37,g,2016-11-06 01:12:08,u6,True,4,3,,,-23874.0
37,d,2016-11-02 15:33:42,u5,37,e,2016-11-05 18:34:14,u7,True,3,4,,,-270032.0
37,b,2016-11-01 12:25:23,u3,37,d,2016-11-02 15:33:42,u5,True,2,5,,,-97699.0
37,a,2016-10-28 20:50:24,u1,37,b,2016-11-01 12:25:23,u3,True,1,6,Start,,-315299.0
38,b,2016-11-03 08:49:01,u3,38,c,2016-11-03 20:26:20,u1,True,2,1,,End,-41839.0
38,a,2016-11-01 23:54:50,u2,38,b,2016-11-03 08:49:01,u3,True,1,2,Start,,-118451.0
39,g,2016-11-16 06:40:04,u5,39,h,2016-11-20 04:15:04,u2,True,6,1,,End,-336900.0
39,f,2016-11-14 05:22:59,u8,39,g,2016-11-16 06:40:04,u5,True,5,2,,,-177425.0
39,e,2016-11-14 00:03:03,u7,39,f,2016-11-14 05:22:59,u8,True,4,3,,,-19196.0
39,d,2016-11-10 08:07:34,u5,39,e,2016-11-14 00:03:03,u7,True,3,4,,,-316529.0
39,b,2016-11-09 11:04:39,u3,39,d,2016-11-10 08:07:34,u5,True,2,5,,,-75775.0
39,a,2016-11-06 04:03:44,u1,39,b,2016-11-09 11:04:39,u3,True,1,6,Start,,-284455.0
40,f,2016-11-28 13:56:40,u7,40,h,2016-12-01 01:32:33,u1,True,6,1,,End,-214553.0
40,e,2016-11-22 16:00:29,u8,40,f,2016-11-28 13:56:40,u7,True,5,2,,,-510971.0
40,g,2016-11-17 09:55:47,u6,40,e,2016-11-22 16:00:29,u8,True,4,3,,,-453882.0
40,d,2016-11-17 02:55:30,u5,40,g,2016-11-17 09:55:47,u6,True,3,4,,,-25217.0
40,b,2016-11-12 16:46:46,u3,40,d,2016-11-17 02:55:30,u5,True,2,5,,,-382124.0
40,a,2016-11-07 23:09:22,u2,40,b,2016-11-12 16:46:46,u3,True,1,6,Start,,-409044.0
41,f,2016-12-07 08:41:24,u7,41,h,2016-12-09 19:32:29,u1,True,6,1,,End,-211865.0
41,e,2016-11-27 02:21:11,u7,41,f,2016-12-07 08:41:24,u7,True,5,2,,,-886813.0
41,g,2016-11-20 14:38:46,u5,41,e,2016-11-27 02:21:11,u7,True,4,3,,,-560545.0
41,d,2016-11-18 13:49:01,u5,41,g,2016-11-20 14:38:46,u5,True,3,4,,,-175785.0
41,b,2016-11-15 16:04:39,u3,41,d,2016-11-18 13:49:01,u5,True,2,5,,,-251062.0
41,a,2016-11-14 18:23:46,u2,41,b,2016-11-15 16:04:39,u3,True,1,6,Start,,-78053.0
42,f,2016-12-05 22:27:41,u7,42,h,2016-12-06 21:24:11,u2,True,6,1,,End,-82590.0
42,g,2016-11-29 01:44:16,u6,42,f,2016-12-05 22:27:41,u7,True,5,2,,,-593005.0
42,e,2016-11-26 02:03:37,u8,42,g,2016-11-29 01:44:16,u6,True,4,3,,,-258039.0
42,d,2016-11-21 17:53:45,u5,42,e,2016-11-26 02:03:37,u8,True,3,4,,,-374992.0
42,b,2016-11-20 05:35:23,u3,42,d,2016-11-21 17:53:45,u5,True,2,5,,,-130702.0
42,a,2016-11-18 04:12:56,u2,42,b,2016-11-20 05:35:23,u3,True,1,6,Start,,-177747.0
43,f,2016-12-09 09:05:30,u7,43,h,2016-12-13 02:02:57,u1,True,6,1,,End,-320247.0
43,e,2016-12-04 01:47:22,u7,43,f,2016-12-09 09:05:30,u7,True,5,2,,,-458288.0
43,g,2016-11-26 08:31:25,u5,43,e,2016-12-04 01:47:22,u7,True,4,3,,,-666957.0
43,d,2016-11-24 06:53:25,u5,43,g,2016-11-26 08:31:25,u5,True,3,4,,,-178680.0
43,b,2016-11-22 20:15:33,u3,43,d,2016-11-24 06:53:25,u5,True,2,5,,,-124672.0
43,a,2016-11-22 20:15:33,u2,43,b,2016-11-22 20:15:33,u3,True,1,6,Start,,0.0
44,f,2016-12-13 12:28:54,u7,44,h,2016-12-17 15:03:28,u2,True,6,1,,End,-354874.0
44,e,2016-12-08 01:11:35,u7,44,f,2016-12-13 12:28:54,u7,True,5,2,,,-472639.0
44,g,2016-12-03 18:17:35,u6,44,e,2016-12-08 01:11:35,u7,True,4,3,,,-370440.0
44,d,2016-11-28 00:46:37,u5,44,g,2016-12-03 18:17:35,u6,True,3,4,,,-495058.0
44,b,2016-11-26 22:41:08,u3,44,d,2016-11-28 00:46:37,u5,True,2,5,,,-93929.0
44,a,2016-11-25 19:34:49,u2,44,b,2016-11-26 22:41:08,u3,True,1,6,Start,,-97579.0
45,f,2016-12-18 17:32:34,u8,45,h,2016-12-21 06:59:57,u2,True,6,1,,End,-221243.0
45,e,2016-12-12 05:52:24,u7,45,f,2016-12-18 17:32:34,u8,True,5,2,,,-560410.0
45,g,2016-12-08 13:18:24,u6,45,e,2016-12-12 05:52:24,u7,True,4,3,,,-318840.0
45,d,2016-12-04 17:17:18,u5,45,g,2016-12-08 13:18:24,u6,True,3,4,,,-331266.0
45,b,2016-12-03 20:40:57,u4,45,d,2016-12-04 17:17:18,u5,True,2,5,,,-74181.0
45,a,2016-12-01 04:45:12,u2,45,b,2016-12-03 20:40:57,u4,True,1,6,Start,,-230145.0
46,f,2016-12-17 22:26:42,u8,46,h,2016-12-20 04:23:24,u1,True,6,1,,End,-194202.0
46,e,2016-12-10 05:33:21,u8,46,f,2016-12-17 22:26:42,u8,True,5,2,,,-665601.0
46,g,2016-12-07 07:37:57,u5,46,e,2016-12-10 05:33:21,u8,True,4,3,,,-251724.0
46,d,2016-12-04 05:28:01,u5,46,g,2016-12-07 07:37:57,u5,True,3,4,,,-266996.0
46,b,2016-12-03 12:39:39,u3,46,d,2016-12-04 05:28:01,u5,True,2,5,,,-60502.0
46,a,2016-12-01 13:28:30,u2,46,b,2016-12-03 12:39:39,u3,True,1,6,Start,,-169869.0
47,f,2016-12-20 15:10:31,u8,47,h,2016-12-23 18:19:18,u2,True,6,1,,End,-270527.0
47,e,2016-12-17 12:41:47,u8,47,f,2016-12-20 15:10:31,u8,True,5,2,,,-268124.0
47,g,2016-12-09 11:51:52,u5,47,e,2016-12-17 12:41:47,u8,True,4,3,,,-694195.0
47,d,2016-12-07 10:07:03,u5,47,g,2016-12-09 11:51:52,u5,True,3,4,,,-179089.0
47,b,2016-12-04 20:11:40,u3,47,d,2016-12-07 10:07:03,u5,True,2,5,,,-222923.0
47,a,2016-12-03 12:54:04,u2,47,b,2016-12-04 20:11:40,u3,True,1,6,Start,,-112656.0
48,f,2016-12-23 08:48:07,u7,48,h,2016-12-26 14:36:44,u1,True,6,1,,End,-280117.0
48,e,2016-12-19 00:40:35,u7,48,f,2016-12-23 08:48:07,u7,True,5,2,,,-374852.0
48,g,2016-12-14 17:33:44,u5,48,e,2016-12-19 00:40:35,u7,True,4,3,,,-371211.0
48,d,2016-12-10 01:04:48,u6,48,g,2016-12-14 17:33:44,u5,True,3,4,,,-404936.0
48,b,2016-12-09 12:42:54,u3,48,d,2016-12-10 01:04:48,u6,True,2,5,,,-44514.0
48,a,2016-12-08 05:40:16,u2,48,b,2016-12-09 12:42:54,u3,True,1,6,Start,,-111758.0
49,f,2016-12-30 22:45:36,u7,49,h,2016-12-31 02:25:33,u1,True,6,1,,End,-13197.0
49,e,2016-12-22 09:29:06,u7,49,f,2016-12-30 22:45:36,u7,True,5,2,,,-738990.0
